player,cluster,cluster_label,strike_rate,4s,6s
A Ashish Reddy,4,Rotation Specialist,142.85714285714286,16.0,15.0
A Badoni,3,Steady Opener,125.54455445544555,46.0,24.0
A Chandila,4,Rotation Specialist,57.14285714285714,0.0,0.0
A Chopra,4,Rotation Specialist,70.66666666666667,7.0,0.0
A Choudhary,4,Rotation Specialist,125.0,1.0,1.0
A Dananjaya,4,Rotation Specialist,80.0,0.0,0.0
A Flintoff,3,Steady Opener,108.77192982456141,5.0,2.0
A Kamboj,4,Rotation Specialist,100.0,0.0,0.0
A Kumble,2,Aggressive Finisher,71.42857142857143,3.0,0.0
A Manohar,4,Rotation Specialist,127.62430939226519,21.0,10.0
A Mishra,4,Rotation Specialist,86.5909090909091,31.0,5.0
A Mithun,4,Rotation Specialist,130.76923076923077,4.0,1.0
A Mukund,2,Aggressive Finisher,82.6086956521739,1.0,0.0
A Nehra,2,Aggressive Finisher,65.07936507936508,3.0,1.0
A Nortje,4,Rotation Specialist,96.07843137254902,6.0,0.0
A Raghuvanshi,3,Steady Opener,149.54128440366972,16.0,8.0
A Singh,1,Anchor Batsman,20.0,0.0,0.0
A Symonds,3,Steady Opener,124.71190781049937,74.0,41.0
A Tomar,1,Anchor Batsman,50.0,1.0,0.0
A Uniyal,4,Rotation Specialist,57.14285714285714,0.0,0.0
A Zampa,2,Aggressive Finisher,60.0,1.0,0.0
AA Bilakhia,2,Aggressive Finisher,78.4090909090909,5.0,0.0
AA Chavan,4,Rotation Specialist,109.09090909090908,2.0,0.0
AA Jhunjhunwala,4,Rotation Specialist,99.54128440366972,19.0,5.0
AA Kulkarni,4,Rotation Specialist,112.5,2.0,0.0
AA Noffke,4,Rotation Specialist,75.0,1.0,0.0
AB Agarkar,4,Rotation Specialist,111.87499999999999,13.0,5.0
AB Barath,4,Rotation Specialist,97.67441860465115,5.0,1.0
AB Dinda,2,Aggressive Finisher,52.0,2.0,0.0
AB McDonald,4,Rotation Specialist,119.41747572815532,9.0,4.0
AB de Villiers,0,Power Hitter,148.58044164037855,414.0,253.0
AC Blizzard,3,Steady Opener,131.86813186813185,21.0,2.0
AC Gilchrist,0,Power Hitter,133.05466237942122,239.0,92.0
AC Thomas,4,Rotation Specialist,105.26315789473684,1.0,1.0
AC Voges,3,Steady Opener,126.57342657342659,15.0,3.0
AD Hales,3,Steady Opener,124.36974789915966,13.0,6.0
AD Mascarenhas,4,Rotation Specialist,100.0,5.0,1.0
AD Mathews,3,Steady Opener,120.86811352253757,44.0,29.0
AD Nath,4,Rotation Specialist,90.9090909090909,7.0,2.0
AD Russell,0,Power Hitter,164.22442244224422,171.0,209.0
AF Milne,2,Aggressive Finisher,74.19354838709677,0.0,1.0
AG Murtaza,2,Aggressive Finisher,71.42857142857143,1.0,0.0
AG Paunikar,1,Anchor Batsman,80.32786885245902,9.0,0.0
AJ Finch,3,Steady Opener,123.34905660377358,214.0,78.0
AJ Hosein,3,Steady Opener,145.45454545454547,1.0,1.0
AJ Turner,2,Aggressive Finisher,77.41935483870968,0.0,2.0
AJ Tye,4,Rotation Specialist,115.18987341772151,6.0,5.0
AK Markram,3,Steady Opener,126.4294790343075,73.0,35.0
AL Menaria,3,Steady Opener,109.26430517711172,24.0,18.0
AM Nayar,4,Rotation Specialist,114.28571428571428,55.0,20.0
AM Rahane,0,Power Hitter,120.32141005702437,479.0,103.0
AN Ahmed,4,Rotation Specialist,133.33333333333331,4.0,1.0
AN Ghosh,1,Anchor Batsman,87.5,1.0,0.0
AP Dole,3,Steady Opener,147.82608695652172,3.0,1.0
AP Majumdar,3,Steady Opener,112.98701298701299,7.0,2.0
AP Tare,4,Rotation Specialist,118.94736842105263,40.0,11.0
AR Bawne,4,Rotation Specialist,100.0,1.0,0.0
AR Patel,3,Steady Opener,125.41729893778452,107.0,79.0
AS Joseph,4,Rotation Specialist,84.375,3.0,0.0
AS Rajpoot,1,Anchor Batsman,63.41463414634146,2.0,1.0
AS Raut,4,Rotation Specialist,112.79069767441861,13.0,7.0
AS Roy,4,Rotation Specialist,108.33333333333333,3.0,0.0
AS Yadav,4,Rotation Specialist,122.50000000000001,5.0,2.0
AT Carey,2,Aggressive Finisher,110.34482758620689,0.0,1.0
AT Rayudu,0,Power Hitter,124.58452722063038,359.0,173.0
AU Rashid,4,Rotation Specialist,129.41176470588235,2.0,1.0
AUK Pathan,4,Rotation Specialist,150.0,5.0,2.0
Abdul Basith,4,Rotation Specialist,100.0,0.0,0.0
Abdul Samad,3,Steady Opener,141.91176470588235,37.0,36.0
Abdur Razzak,1,Anchor Batsman,0.0,0.0,0.0
Abhishek Sharma,3,Steady Opener,148.86486486486484,128.0,73.0
Abishek Porel,3,Steady Opener,147.54098360655738,37.0,15.0
Akash Deep,4,Rotation Specialist,158.33333333333331,2.0,1.0
Akash Madhwal,4,Rotation Specialist,80.0,0.0,0.0
Aman Hakim Khan,4,Rotation Specialist,105.50458715596329,8.0,6.0
Anirudh Singh,4,Rotation Specialist,91.30434782608695,6.0,1.0
Ankit Sharma,4,Rotation Specialist,126.08695652173914,7.0,4.0
Ankit Soni,1,Anchor Batsman,77.77777777777779,0.0,1.0
Anmolpreet Singh,4,Rotation Specialist,118.80341880341881,19.0,3.0
Anuj Rawat,4,Rotation Specialist,115.21739130434783,26.0,14.0
Anureet Singh,2,Aggressive Finisher,76.59574468085107,2.0,1.0
Arjun Tendulkar,4,Rotation Specialist,144.44444444444443,0.0,1.0
Arshad Khan,3,Steady Opener,143.28358208955223,5.0,6.0
Arshad Khan (2),4,Rotation Specialist,125.0,1.0,0.0
Arshdeep Singh,1,Anchor Batsman,69.04761904761905,4.0,0.0
Ashutosh Sharma,3,Steady Opener,160.16949152542372,10.0,15.0
Atharva Taide,3,Steady Opener,139.54802259887003,27.0,8.0
Avesh Khan,4,Rotation Specialist,164.0,3.0,3.0
Azhar Mahmood,3,Steady Opener,124.7588424437299,39.0,13.0
Azmatullah Omarzai,4,Rotation Specialist,123.52941176470588,2.0,2.0
B Akhil,4,Rotation Specialist,133.33333333333331,5.0,5.0
B Chipli,4,Rotation Specialist,109.375,28.0,7.0
B Indrajith,2,Aggressive Finisher,67.74193548387096,2.0,0.0
B Kumar,4,Rotation Specialist,90.53254437869822,30.0,3.0
B Laughlin,1,Anchor Batsman,38.46153846153847,0.0,0.0
B Lee,4,Rotation Specialist,121.56862745098039,8.0,8.0
B Sai Sudharsan,3,Steady Opener,134.28571428571428,95.0,32.0
B Stanlake,4,Rotation Specialist,250.0,1.0,0.0
B Sumanth,4,Rotation Specialist,92.10526315789474,3.0,0.0
BA Bhatt,1,Anchor Batsman,85.71428571428571,0.0,1.0
BA Stokes,3,Steady Opener,130.22284122562675,81.0,32.0
BAW Mendis,1,Anchor Batsman,50.0,0.0,0.0
BB McCullum,0,Power Hitter,126.84859154929578,293.0,130.0
BB Samantray,4,Rotation Specialist,107.75862068965519,13.0,2.0
BB Sran,4,Rotation Specialist,71.42857142857143,0.0,0.0
BCJ Cutting,4,Rotation Specialist,163.013698630137,15.0,19.0
BE Hendricks,1,Anchor Batsman,33.33333333333333,0.0,0.0
BJ Haddin,3,Steady Opener,163.63636363636365,2.0,1.0
BJ Hodge,3,Steady Opener,121.42237640936686,122.0,43.0
BJ Rohrer,3,Steady Opener,132.1917808219178,21.0,5.0
BMAJ Mendis,2,Aggressive Finisher,85.18518518518519,0.0,0.0
BR Dunk,4,Rotation Specialist,111.11111111111111,7.0,0.0
BR Sharath,1,Anchor Batsman,40.0,0.0,0.0
Basil Thampi,2,Aggressive Finisher,86.48648648648648,1.0,1.0
Bipul Sharma,4,Rotation Specialist,150.80645161290323,11.0,9.0
C Green,3,Steady Opener,149.78813559322032,62.0,32.0
C Madan,1,Anchor Batsman,71.42857142857143,3.0,0.0
C Munro,3,Steady Opener,122.91666666666667,19.0,8.0
C Nanda,1,Anchor Batsman,0.0,0.0,0.0
C Sakariya,1,Anchor Batsman,64.51612903225806,3.0,0.0
C de Grandhomme,4,Rotation Specialist,132.31441048034935,18.0,18.0
CA Ingram,4,Rotation Specialist,112.02185792349727,22.0,5.0
CA Lynn,3,Steady Opener,136.4476386036961,132.0,66.0
CA Pujara,3,Steady Opener,96.7741935483871,50.0,4.0
CH Gayle,0,Power Hitter,142.1217292377702,408.0,359.0
CH Morris,4,Rotation Specialist,149.636803874092,41.0,35.0
CJ Anderson,3,Steady Opener,123.39449541284404,40.0,31.0
CJ Ferguson,4,Rotation Specialist,82.35294117647058,9.0,0.0
CJ Jordan,4,Rotation Specialist,100.0,3.0,3.0
CJ McKay,2,Aggressive Finisher,53.333333333333336,0.0,0.0
CK Kapugedera,2,Aggressive Finisher,66.66666666666666,0.0,0.0
CK Langeveldt,1,Anchor Batsman,88.88888888888889,0.0,1.0
CL White,3,Steady Opener,125.45219638242895,76.0,38.0
