batter,total_runs,total_matches,balls_faced,strike_rate,highest_run_in_match,half_centuries,centuries,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
V Kohli,8014,244,6236,128.51186658114176,113,56,8,33,47,27,92,42,70,51,18,42,3
S Dhawan,6769,221,5483,123.45431333211745,106,51,2,14,1,70,45,22,17,0,7,57,30
RG Sharma,6630,251,5183,127.91819409608335,109,43,2,68,19,4,11,4,8,6,36,105,38
DA Warner,6567,184,4849,135.4299855640338,126,62,4,1,1,8,10,18,52,49,29,86,46
SK Raina,5536,200,4177,132.53531242518554,100,39,1,17,4,11,2,3,2,17,24,18,8
MS Dhoni,5243,228,3947,132.8350646060299,84,24,0,25,26,0,14,5,4,28,20,1,1
AB de Villiers,5181,170,3487,148.58044164037855,133,41,3,11,12,11,4,26,19,23,0,3,75
CH Gayle,4997,141,3516,142.1217292377702,175,32,6,14,1,13,46,0,43,15,11,10,40
RV Uthappa,4954,197,3927,126.15227909345556,88,27,0,1,0,1,1,30,3,88,15,13,50
KD Karthik,4843,233,3687,131.35340385136968,97,22,0,11,14,0,18,21,11,25,83,53,4
KL Rahul,4689,122,3578,131.05086640581328,132,37,4,55,5,29,25,28,76,16,82,39,39
AM Rahane,4642,171,3858,120.32141005702437,105,30,2,33,1,9,29,9,1,36,5,35,45
F du Plessis,4571,138,3435,133.07132459970887,96,37,0,17,54,6,9,64,24,25,7,62,61
SV Samson,4419,162,3270,135.1376146788991,119,25,3,10,17,18,15,86,0,71,38,12,18
AT Rayudu,4348,185,3490,124.58452722063038,100,22,1,19,17,4,23,12,0,9,14,1,20
G Gambhir,4217,151,3524,119.66515323496027,93,36,0,4,3,8,15,55,12,32,21,8,14
SR Watson,3880,141,2892,134.1632088520055,117,21,4,14,14,8,42,14,1,83,36,50,33
MK Pandey,3859,158,3288,117.36618004866179,114,22,1,42,0,27,1,1,34,21,50,26,0
SA Yadav,3594,135,2522,142.50594766058683,103,24,2,0,11,102,56,10,26,10,78,0,52
JC Buttler,3583,106,2519,142.23898372369987,124,19,7,21,19,0,34,35,107,8,100,13,11
KA Pollard,3437,168,2447,140.45770331017573,87,16,0,15,4,10,19,14,25,10,0,22,22
RR Pant,3297,110,2296,143.59756097560975,128,18,1,33,15,27,29,88,44,16,41,1,55
YK Pathan,3222,153,2334,138.04627249357327,100,14,1,3,5,0,9,6,16,1,45,3,24
Shubman Gill,3216,99,2432,132.23684210526315,129,20,4,104,2,16,6,35,8,72,19,89,36
Q de Kock,3160,107,2410,131.12033195020746,140,23,2,12,2,8,0,54,10,19,6,81,54
SS Iyer,3131,114,2545,123.02554027504911,96,21,0,6,58,7,23,6,33,28,50,11,38
RA Jadeja,2959,180,2378,124.4322960470984,62,3,0,42,5,18,43,2,16,57,31,21,7
WP Saha,2934,143,2368,123.90202702702702,115,13,1,1,5,39,13,2,11,25,21,19,54
DA Miller,2924,123,2171,134.68447719944726,101,13,1,16,30,26,55,4,2,44,21,12,4
BB McCullum,2882,109,2272,126.84859154929578,158,13,2,5,37,38,4,0,43,1,45,7,3
PA Patel,2848,136,2442,116.62571662571663,81,13,0,0,8,39,43,53,11,28,19,9,25
GJ Maxwell,2772,128,1842,150.4885993485342,95,18,0,0,16,4,0,1,0,28,3,0,11
Yuvraj Singh,2754,126,2207,124.78477571363842,83,13,0,4,18,23,53,1,14,14,20,4,12
V Sehwag,2728,104,1833,148.82705946535734,122,16,2,2,1,1,1,11,47,36,0,7,122
MA Agarwal,2669,121,2081,128.25564632388276,106,13,1,5,16,11,32,83,18,5,49,2,48
Ishan Kishan,2644,99,1991,132.79758915118032,99,16,0,14,40,9,13,32,20,0,8,23,69
N Rana,2636,101,2015,130.81885856079404,87,18,0,33,9,8,57,22,51,42,4,48,27
M Vijay,2619,105,2208,118.61413043478262,127,13,2,10,21,1,26,38,12,59,16,6,54
HH Pandya,2534,128,1814,139.69128996692393,91,10,0,16,2,1,0,46,10,10,2,21,39
SPD Smith,2495,93,1999,124.81240620310155,101,11,1,9,39,24,4,34,33,9,1,11,31
SE Marsh,2489,69,1913,130.10977522216413,115,20,1,10,25,11,58,20,84,30,26,1,45
AD Russell,2488,104,1515,164.22442244224422,88,11,0,24,12,7,24,27,13,10,41,64,7
JH Kallis,2427,95,2291,105.93627237014405,89,17,0,10,4,13,9,43,0,72,24,1,41
DR Smith,2385,88,1803,132.27953410981698,87,17,0,54,8,74,9,0,4,5,1,0,47
RD Gaikwad,2380,65,1781,133.63279056709715,108,18,2,0,42,0,32,62,98,108,17,69,67
SR Tendulkar,2334,78,2044,114.18786692759295,100,13,1,38,15,48,15,14,9,23,2,54,1
RA Tripathi,2236,93,1650,135.51515151515153,93,12,0,9,37,55,33,11,20,15,1,20,47
R Dravid,2174,82,1918,113.34723670490095,75,11,0,43,12,25,4,22,4,53,58,6,22
KS Williamson,2132,76,1734,122.95271049596307,89,18,0,1,26,8,9,4,47,5,16,3,17
AJ Finch,2092,90,1696,123.34905660377358,88,15,0,14,4,3,58,7,32,52,15,47,29
AC Gilchrist,2069,80,1555,133.05466237942122,109,11,2,5,6,26,42,85,27,42,4,26,7
JP Duminy,2029,75,1680,120.77380952380952,78,14,0,13,23,17,14,9,34,13,48,49,7
MEK Hussey,1977,58,1648,119.96359223300972,116,15,1,4,56,16,1,39,22,56,6,56,10
PP Shaw,1892,79,1321,143.22482967448903,99,14,0,13,11,16,7,32,66,10,43,5,54
MP Stoinis,1866,88,1366,136.60322108345534,124,9,1,28,5,3,36,62,0,124,8,10,8
DPMD Jayawardene,1808,78,1522,118.7910643889619,110,10,1,14,4,19,34,11,5,12,39,59,6
N Pooran,1769,72,1143,154.7681539807524,77,9,0,75,61,48,10,14,11,34,23,45,0
Mandeep Singh,1706,97,1418,120.31029619181946,77,6,0,12,0,2,0,18,0,15,6,0,0
MK Tiwary,1695,83,1489,113.83478844862324,75,7,0,35,4,7,1,7,58,60,9,8,0
