player,cluster,cluster_label,economy,wickets
A Ashish Reddy,0,Pace Bowler,8.88888888888889,19.0
A Badoni,0,Pace Bowler,8.879999999999999,2.0
A Chandila,0,Pace Bowler,6.282051282051282,11.0
A Choudhary,0,Pace Bowler,8.0,5.0
A Dananjaya,0,Pace Bowler,11.28,0.0
A Flintoff,0,Pace Bowler,9.636363636363637,2.0
A Kamboj,0,Pace Bowler,10.147058823529411,2.0
A Kumble,3,Economy Expert,6.646998982706002,49.0
A Mishra,1,Spin Wizard,7.304878048780488,183.0
A Mithun,0,Pace Bowler,9.173076923076923,8.0
A Nehra,1,Spin Wizard,7.711246200607903,121.0
A Nel,0,Pace Bowler,10.333333333333334,1.0
A Nortje,3,Economy Expert,8.82771194165907,62.0
A Singh,0,Pace Bowler,7.888888888888889,31.0
A Symonds,0,Pace Bowler,7.711111111111111,23.0
A Uniyal,0,Pace Bowler,10.578947368421053,3.0
A Zampa,0,Pace Bowler,7.934117647058824,30.0
AA Chavan,0,Pace Bowler,7.976470588235294,8.0
AA Jhunjhunwala,0,Pace Bowler,8.863636363636363,1.0
AA Kazi,0,Pace Bowler,9.692307692307693,1.0
AA Noffke,0,Pace Bowler,9.84,1.0
AB Agarkar,0,Pace Bowler,8.590243902439026,33.0
AB Dinda,3,Economy Expert,7.940843297671492,82.0
AB McDonald,0,Pace Bowler,8.393617021276595,14.0
AC Gilchrist,0,Pace Bowler,0.0,1.0
AC Thomas,0,Pace Bowler,7.63302752293578,16.0
AC Voges,0,Pace Bowler,8.142857142857142,1.0
AD Mascarenhas,0,Pace Bowler,7.064516129032258,19.0
AD Mathews,0,Pace Bowler,8.141263940520446,28.0
AD Russell,1,Spin Wizard,9.116883116883116,125.0
AF Milne,0,Pace Bowler,9.373271889400922,9.0
AG Murtaza,0,Pace Bowler,7.182156133828996,12.0
AJ Finch,0,Pace Bowler,9.136363636363637,1.0
AJ Hosein,0,Pace Bowler,10.25,1.0
AJ Tye,3,Economy Expert,8.445378151260504,48.0
AK Markram,0,Pace Bowler,8.439024390243903,2.0
AL Menaria,0,Pace Bowler,7.646017699115045,3.0
AM Nayar,0,Pace Bowler,8.10878661087866,9.0
AM Rahane,0,Pace Bowler,5.0,1.0
AM Salvi,0,Pace Bowler,7.884615384615385,7.0
AN Ahmed,0,Pace Bowler,8.535911602209945,15.0
AP Dole,0,Pace Bowler,9.36986301369863,5.0
AR Patel,1,Spin Wizard,7.279187817258883,131.0
AS Joseph,0,Pace Bowler,9.343612334801762,22.0
AS Rajpoot,0,Pace Bowler,8.931216931216932,24.0
AS Raut,0,Pace Bowler,9.0,0.0
AS Roy,0,Pace Bowler,8.070422535211268,6.0
AU Rashid,0,Pace Bowler,9.1,2.0
AUK Pathan,0,Pace Bowler,9.219512195121952,0.0
Abdul Samad,0,Pace Bowler,12.327272727272728,2.0
Abdur Razzak,0,Pace Bowler,12.428571428571427,0.0
Abhishek Sharma,0,Pace Bowler,8.546762589928058,11.0
Akash Deep,0,Pace Bowler,11.108571428571429,8.0
Akash Madhwal,0,Pace Bowler,9.268817204301076,22.0
Akash Singh,0,Pace Bowler,9.659574468085106,5.0
Aman Hakim Khan,0,Pace Bowler,13.0,0.0
Anand Rajan,0,Pace Bowler,7.62962962962963,10.0
Ankit Sharma,0,Pace Bowler,7.248,12.0
Ankit Soni,0,Pace Bowler,7.767857142857142,4.0
Anureet Singh,0,Pace Bowler,8.874418604651162,21.0
Arjun Tendulkar,0,Pace Bowler,8.457831325301205,4.0
Arshad Khan,0,Pace Bowler,11.058823529411764,6.0
Arshad Khan (2),0,Pace Bowler,11.53846153846154,0.0
Arshdeep Singh,3,Economy Expert,8.659325533379215,84.0
Atharva Taide,2,Wicket Hunter,24.0,0.0
Avesh Khan,3,Economy Expert,8.676258992805757,81.0
Azhar Mahmood,0,Pace Bowler,7.684782608695652,31.0
Azmatullah Omarzai,0,Pace Bowler,8.885496183206108,4.0
B Akhil,0,Pace Bowler,7.647668393782384,7.0
B Chipli,2,Wicket Hunter,20.0,0.0
B Geeves,0,Pace Bowler,11.142857142857144,2.0
B Kumar,1,Spin Wizard,7.464532019704434,195.0
B Laughlin,0,Pace Bowler,9.5195530726257,10.0
B Lee,0,Pace Bowler,7.3755458515283845,30.0
B Stanlake,0,Pace Bowler,8.0,7.0
BA Bhatt,0,Pace Bowler,8.07920792079208,13.0
BA Stokes,0,Pace Bowler,8.489626556016598,31.0
BAW Mendis,0,Pace Bowler,7.403225806451612,9.0
BB Sran,0,Pace Bowler,8.918604651162791,20.0
BCJ Cutting,0,Pace Bowler,8.958333333333334,12.0
BE Hendricks,0,Pace Bowler,9.13375796178344,11.0
